gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
RBM42,842,499,991,1724,1791,1955,1814,1390,1187,1214,1365
KIRREL2,4,0,0,3,0,2,0,0,2,0,0
UBA2,7277,3216,5372,20155,23506,23044,22877,13293,11493,15243,12507
FFAR2,73,77,121,55,61,51,67,94,95,53,135
HCST,5,0,3,7,3,7,2,0,0,0,0
FFAR1,34,42,56,25,42,65,48,33,58,40,48
COX6B1,1286,826,2139,4222,4492,4078,4135,2028,1665,2146,1699
KRT36,4,0,5,1,0,0,0,2,8,0,3
THRA,1388,453,589,1069,1189,1203,946,1741,1492,1970,1550
CCR7,108,196,243,7,5,40,14,114,123,207,147
NR1D1,18,24,19,45,60,54,55,32,22,50,29
FRMD8,631,320,468,656,645,589,581,846,747,876,860
PRDX5,1638,3208,4762,1471,1501,1586,1572,5722,5735,6203,6426
BCL2L12,230,126,355,694,714,784,776,537,440,494,486
IRF3,522,449,739,824,858,859,850,1120,1371,1345,1658
PRMT1,1366,484,974,8038,9067,8297,8333,1122,810,1063,863
RRAS,22,19,3,90,94,102,75,68,69,105,52
PRRG2,21,4,20,38,20,27,35,4,11,9,9
SCAF1,320,317,553,336,411,653,431,497,496,513,604
PRR12,188,34,152,186,176,201,134,121,115,93,80
TSKS,45,12,0,1,0,0,0,0,7,6,1
FLRT1,15,0,18,35,40,23,26,8,14,7,26
ASL,336,106,352,887,932,956,925,207,116,155,191
SBDS,1919,2267,2475,3194,3748,3571,3714,3614,3337,3945,3291
CSN1S1,0,0,0,0,0,0,0,0,0,0,0
STATH,2,1,0,0,0,1,0,3,0,0,0
HTN1,132,113,150,86,90,119,134,140,135,143,190
STAT5A,2324,249,544,6465,7507,8307,7541,750,416,821,341
WNK4,32,27,29,25,11,18,38,23,43,43,24
BECN1,2597,2877,4216,4337,4804,4907,4851,3709,3308,3872,3644
PRKCG,3,3,0,1,6,0,0,5,4,3,0
TRAP1,2102,304,1167,8307,9879,8966,9400,836,387,925,468
GLIS2,4,2,0,0,0,0,0,2,3,1,1
NSRP1,1502,1232,1994,1540,1939,2013,2024,1407,1153,1377,1525
DNAJC8,7287,4842,9616,9720,11795,11489,11501,6363,6137,7433,7242
AHDC1,136,175,150,140,125,163,98,135,210,129,188
IFI6,110,143,181,52,36,70,43,25,37,40,33
DACH2,0,2,11,1,3,0,1,3,3,9,6
ZNF384,743,438,935,799,852,865,883,967,974,1035,1017
EMG1,868,557,770,2430,2706,2662,2605,887,577,900,653
SSX1,8,0,0,0,0,2,1,0,0,3,2
UXT,1993,1278,1733,2719,3110,3760,3408,2843,2738,3392,3157
CFP,90,78,67,75,72,73,62,39,84,80,95
ELK1,388,275,334,1014,928,1322,1091,633,779,706,902
TIMM17B,374,376,662,287,267,308,290,303,334,374,424
PCNX4,4544,1778,3556,6979,7995,8872,9081,1843,1705,1894,1671
ATG14,7428,15946,12075,2461,2788,2509,2645,14890,18345,16936,20129
KTN1,19705,15398,15232,25165,30013,33588,34195,15802,15577,18287,17582
SIX1,0,2,8,6,2,0,1,7,1,11,3
RHOJ,17,27,16,5,22,25,16,17,14,22,18
DLGAP5,17904,7408,17443,10233,11834,13721,13164,21530,17977,23487,20938
L3HYPDH,247,65,118,503,460,440,509,67,61,92,77
HSPA2,5112,4844,2540,243,252,414,306,561,1455,662,1230
ZBTB1,1907,774,1320,3673,4457,3919,4140,1762,1244,2138,1537
TRMT5,1368,952,1476,2404,3126,3043,3575,1079,976,1092,1025
SGPP1,3315,1019,941,3482,3488,3561,3716,2354,1206,2534,1269
PLEKHG3,51,93,73,14,12,17,10,30,26,12,28
PZP,85,61,45,12,16,24,10,25,14,18,39
PRDM7,63,91,65,61,40,42,54,49,59,51,92
RHOT1,4698,5400,7836,3125,3824,3731,3828,3527,4020,3968,4669
EVI2A,186,178,108,36,28,105,110,43,28,31,49
OMG,47,60,27,61,37,102,56,12,17,13,25
WDR60,1053,717,1836,1515,2043,1790,1644,566,481,565,564
AIF1L,50,18,60,16,16,16,21,7,19,6,18
FAM78A,626,1005,1391,863,940,633,737,105,189,113,263
NUP214,2389,1173,2308,1813,2024,2039,1894,1448,1221,1413,1423
CTAG2,0,0,0,0,0,0,0,0,0,0,0
AVPR2,0,11,8,20,22,20,9,0,1,4,0
SLC10A3,656,553,1477,228,221,228,228,927,862,997,1076
MAP2K2,6905,3711,8015,5184,5540,6102,5661,4518,4253,4799,5255
