gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
DENND2D,4,5,12,39,11,0,7,15,0,0,12,37
AXDND1,5,15,27,20,11,25,8,15,10,13,0,11
TDRD5,54,188,169,122,166,116,63,124,93,120,126,165
IER5,3690,3721,3268,3708,3325,2965,3237,3192,2441,3114,2889,2584
SNED1,0,2,0,0,0,4,0,4,0,0,0,1
BPNT1,5472,3895,3541,3003,2810,5382,6770,3542,4767,6285,3880,3188
SPATA17,9,9,0,9,44,15,0,31,14,0,58,8
C1orf115,0,0,2,0,1,0,0,0,0,0,0,0
BROX,3010,3749,4097,4431,5041,5273,3748,3838,4902,5546,5407,4769
NBPF20,951,733,763,944,1311,705,982,1210,891,1293,1755,1039
ACP6,55,137,183,66,153,236,56,253,39,200,157,54
WDR64,12,1,23,6,36,56,17,2,39,37,23,44
KIF26B,0,20,21,5,1,2,4,12,21,10,2,28
TFB2M,4718,1443,2585,2547,2223,3007,3506,1623,3294,3554,2483,2419
CNST,3971,4767,4092,3736,3601,4659,5304,3151,5272,6673,4669,4605
PPP1R21,560,867,696,821,731,773,765,769,617,754,1253,1264
KLHDC8A,6,2,8,26,42,0,0,3,0,1,8,1
PM20D1,0,6,4,1,0,1,4,5,0,3,4,0
PKDCC,83,126,209,114,159,128,97,157,151,201,198,91
OXER1,0,0,0,0,0,0,0,0,0,0,0,0
HAAO,0,1,0,1,2,2,1,0,0,0,0,0
MAPKAPK2,5936,6185,5154,5526,5191,5393,6341,5924,5413,6966,5778,5771
IL20,0,0,0,0,0,0,0,0,0,3,0,0
IL24,0,0,4,11,7,0,1,0,0,3,29,0
FCMR,0,11,7,23,3,2,3,17,0,18,5,12
PIGR,4,29,27,22,24,20,282,23,8,39,11,15
FCAMR,0,0,4,1,4,0,0,0,0,0,1,0
CAPN2,9799,17626,8568,10691,10805,10462,10886,14543,11686,13796,13557,10433
MRPL55,2158,1663,1322,1031,1115,1404,1714,1614,1396,1624,1405,1113
OBSCN-AS1,18,14,14,13,8,3,11,10,0,7,10,23
WDR26,8782,11621,9717,9155,10336,10615,10362,13024,10999,13073,12816,10075
REL,977,1024,1364,1211,1461,1502,1272,1383,1308,1906,2085,1862
PUS10,638,516,963,1013,958,1262,944,559,1106,1264,1205,881
PEX13,1322,1478,1725,1586,1437,2080,1685,1396,2006,2247,1433,1332
KIAA1841,704,963,831,1020,991,1319,1065,1083,988,1023,1424,964
TRIM17,0,0,1,0,0,0,0,0,0,2,1,2
RFTN2,10,24,34,18,30,11,58,12,16,18,17,81
DISC1,6,43,27,14,44,27,15,32,28,30,19,37
LINC01931,0,0,0,0,0,0,0,0,0,0,0,0
CAPN13,0,1,0,0,1,0,0,1,0,0,0,0
LRRTM1,7,119,10,10,25,7,8,127,32,16,25,17
MEMO1,3014,1182,2149,2424,2345,2805,2471,1156,2703,3286,2883,2151
DPY30,2093,1686,1337,1369,1393,1957,2041,1409,2040,2175,1454,1201
TYW5,584,549,515,511,724,689,614,627,720,844,853,587
MAIP1,1200,535,687,638,646,887,989,496,721,1077,756,588
KCNF1,0,0,0,0,0,0,0,0,0,0,0,0
SLC66A3,528,1200,915,947,1125,774,700,891,724,937,1076,823
ARL5A,6939,10174,7603,7525,9650,8982,9101,10830,7602,10690,11800,6519
LRATD1,127,62,120,79,84,171,62,28,63,52,52,23
KCNJ3,13,4,4,6,2,5,1,7,12,4,3,12
NEUROD1,0,0,0,0,1,0,0,0,0,0,0,0
CLHC1,220,415,279,369,352,346,260,392,360,598,569,269
PRORSD1P,271,590,517,630,755,617,467,620,602,691,606,491
FRZB,4,25,1,1,0,0,0,45,1,4,7,0
DUSP19,397,132,503,421,341,543,570,274,740,604,433,395
CFAP36,1495,3026,2008,2637,2398,2338,1886,2631,2214,2852,2815,2388
NUP35,1852,601,1198,1049,1330,1534,1566,609,1740,1832,1604,1050
CCDC138,1604,920,1355,1186,1364,1536,1569,969,1352,1945,1600,1555
ZSWIM2,0,0,0,3,0,2,0,0,1,4,0,0
FBXO41,712,355,942,583,635,902,965,642,1146,1510,870,883
ALMS1P1,0,0,8,4,2,0,2,0,0,2,7,0
ACTG2,0,6,7,1,1,0,0,2,0,0,0,2
WDCP,2511,1116,1382,1171,1316,1979,1994,998,2073,2479,2115,1124
SMC6,8552,4846,8465,7589,9075,10678,7971,5411,10735,13328,11987,9000
VSNL1,3,30,19,9,5,10,6,5,12,2,19,3
CCDC74A,408,534,440,442,548,510,456,404,517,804,583,433
H3-3A,34571,28454,30262,36758,30416,34671,36565,22179,34933,42080,34916,33425
ANKRD30BL,2,8,10,9,13,11,10,8,15,8,28,7
COQ8A,2714,4844,4345,4188,4002,3293,3957,3210,3142,3848,3644,3232
SLC16A14,0,1,1,0,1,0,0,14,0,0,0,7
TEKT4,48,55,59,82,70,56,61,72,35,69,62,75
EN1,42,108,32,42,46,39,67,45,119,56,71,34
SGCB,13,138,39,30,49,7,12,73,13,34,111,25
SPATA18,0,0,0,0,0,0,0,0,0,0,0,0
NOSTRIN,1819,2614,3968,3497,4194,3250,2233,2342,2192,3366,3941,3960
CFAP221,33,33,20,53,55,74,33,31,11,47,87,40
CCDC140,0,0,0,1,0,0,0,0,0,0,0,0
SGPP2,0,0,0,1,0,0,1,0,0,1,0,0
INHBB,0,0,0,1,1,1,1,0,0,0,0,0
XIRP2,10,3,10,1,8,9,11,22,33,34,35,32
BBS5,874,932,997,931,1090,1115,1074,825,1091,1323,1103,874
BIRC8,0,0,0,0,0,0,0,0,0,0,0,0
SMARCAD1,5171,2389,4645,4349,5296,6175,5573,3704,7157,8281,6577,5466
HPGDS,1,19,43,17,32,38,7,19,22,26,14,2
PDLIM5,8923,6965,6395,7061,5802,7454,8740,5469,8490,9613,8249,5424
PDHA2,0,0,0,1,1,0,1,0,0,0,0,0
STPG2,0,0,0,2,2,0,2,0,0,1,0,0
NEURL3,0,0,1,0,1,0,1,0,0,0,0,0
RPRD2,2476,1466,3572,3371,3279,3757,3671,2366,3242,3932,3588,3489
ANKRD23,207,118,194,214,323,142,195,131,152,195,312,287
CTSS,663,2172,1913,2356,1375,959,1272,2754,997,1463,2751,3339
MSX1,224,303,283,245,333,218,228,319,149,243,261,179
PACRGL,901,494,557,463,596,869,1116,455,1150,1144,746,570
BNIPL,35,93,66,146,101,121,66,245,84,123,128,44
C1QTNF7,0,0,0,0,0,0,0,0,0,0,0,0
TNFAIP8L2,3,0,12,12,6,4,10,0,7,15,26,13
LYSMD1,502,1042,518,458,518,635,708,653,584,794,627,621
SCNM1,1527,1426,1221,1142,1076,1181,1380,1334,1344,1355,1265,1087
TMOD4,11,7,14,33,22,3,0,2,20,22,10,20
VPS72,3150,2479,2557,2514,2674,3077,3121,2346,2644,3312,2516,2869
ERCC3,3441,3562,2591,2582,2803,3120,3005,3043,2990,3451,3067,2546
RNF149,1079,1640,1209,1131,1154,1198,1196,1374,1275,1455,1118,1252
IWS1,5000,4954,3350,3297,3475,4254,4916,4478,4486,5025,3849,3128
BOLA3,1771,863,1074,1109,1113,1535,1572,613,1556,1715,1023,1113
CDC42EP3,55,187,73,84,161,190,26,76,70,131,201,78
S100A11,3159,3932,3922,5081,5316,3488,3117,3109,2824,3775,5155,4693
LCE3D,0,0,0,0,0,0,0,0,0,0,0,0
SMCP,0,0,0,0,0,0,0,0,0,0,0,0
IVL,0,0,0,0,0,2,0,0,0,0,0,0
SPRR3,0,0,1,2,0,0,0,0,1,0,0,0
DHX57,2470,1852,1711,1438,1997,2247,2110,1575,2513,2667,2657,1498
SPRR2D,39,3110,459,1303,1522,184,62,2874,100,449,1611,1270
BMP10,5,1,2,13,16,25,9,3,36,59,0,2
PGLYRP4,15,42,27,25,34,5,9,25,5,15,19,14
ARHGAP25,246,233,363,768,824,778,384,435,997,998,785,716
S100A9,3,0,0,6,0,3,3,0,0,1,5,3
S100A12,0,0,0,0,0,0,0,0,0,0,0,0
TGFA,0,0,0,0,0,0,0,0,0,2,0,0
TDRD10,0,0,0,0,0,0,0,2,2,0,0,0
CCNYL1,487,650,635,719,722,883,708,816,1039,863,1251,735
FZD5,1308,1605,1165,1151,1230,1288,1208,1144,1178,1504,1241,999
CRYGC,0,0,0,0,0,0,0,0,0,0,0,0
DCAF16,5554,4895,6142,5897,6112,7765,6987,4724,6994,8554,6787,6066
C1orf189,0,0,1,0,0,0,0,0,0,0,0,0
NPPC,2,17,2,0,0,0,0,1,0,0,0,0
GNPDA2,1399,1504,1217,1150,1155,1476,1571,1079,1609,1988,1591,1115
ALPP,10,6,13,8,7,5,14,3,4,6,2,0
GABRG1,87,264,955,846,1032,1028,460,498,1026,1382,1667,978
ALPG,0,0,2,0,0,0,0,0,0,0,0,0
GABRB1,1,7,2,3,1,1,1,10,0,0,17,0
PAQR3,3229,7884,4348,4103,4636,4349,5087,6440,4604,5778,5846,4238
NIPAL1,31,21,56,118,52,44,78,14,18,93,0,22
ALPI,0,0,0,0,0,0,0,0,0,0,0,0
ANTXR2,9396,6673,12416,15451,14774,11881,11984,8407,15316,19206,20980,17873
HELQ,803,296,838,1159,942,670,810,606,1120,1040,964,1158
MRPS18C,4070,1770,1951,2088,1716,2378,3036,1745,2516,3051,2214,1925
CGGBP1,5755,5435,7492,8838,9646,8766,7050,4772,7925,10896,11558,8569
ABRAXAS1,3227,11375,5360,4560,7685,5975,4779,11152,5238,7296,8303,6168
GPR155,36,176,57,59,149,58,50,106,69,116,75,68
DAPL1,0,3,0,0,0,1,0,0,2,0,0,4
PMVK,645,444,657,773,683,654,544,470,706,675,791,662
PBXIP1,434,1700,1294,1634,1330,1058,805,1617,948,1281,1398,1504
CLDN1,1,7,2,0,2,0,2,3,0,0,0,0
PYGO2,2955,2433,3122,3092,3170,3290,2812,3036,2854,3716,3249,2749
HIPK1,6222,6211,7404,7660,7370,7254,7694,6011,7715,8767,8894,8768
LENEP,4,0,1,0,1,0,1,0,0,0,0,2
DCST2,18,69,47,10,29,25,7,118,7,18,37,16
DCST1,4,4,1,0,2,0,0,12,0,7,0,0
COL6A3,141,10788,2335,5648,8610,682,143,12998,478,1650,6203,5623
INAVA,38,31,28,34,43,30,39,44,45,41,52,29
YY1AP1,4204,4164,4139,4337,4360,4569,4526,4171,3959,5486,4973,4055
KBTBD8,784,1155,1060,1223,1504,1138,630,874,1195,1515,1883,1601
TAFA4,0,1,0,0,1,0,1,0,0,0,7,0
EOGT,584,332,786,896,830,976,711,546,778,932,1032,959
LMOD3,3,19,3,8,18,14,15,14,16,8,20,9
NAXE,3149,2795,2534,2279,2239,2734,2843,2145,2472,3068,2121,2014
POGLUT1,900,270,1158,1035,1342,1221,1017,511,1420,1264,1204,1230
SLC22A15,30,941,993,1278,1685,666,63,733,322,814,1837,1624
CCKAR,0,0,0,0,0,1,0,0,0,0,0,0
IGFN1,0,7,11,18,18,5,2,20,6,8,17,25
ATP1A1,47975,38323,32683,29451,27605,46285,44923,30560,42677,49488,27488,27607
SLC15A2,59,531,97,92,115,86,77,376,93,45,237,51
EIF4E3,166,817,380,500,699,524,256,789,334,429,522,292
PROK2,0,2,1,0,3,1,0,0,0,0,2,0
TEX55,0,0,0,0,0,0,0,0,0,0,0,0
LRRC58,4344,3874,3881,3843,4044,4204,4774,3560,4540,5741,5030,4662
FSTL1,1,1,11,2,3,15,12,7,5,20,1,146
LMOD1,90,59,40,41,94,84,81,133,155,141,111,41
ELF3,4,41,32,22,29,31,9,39,26,14,9,17
PDCL2,37,27,16,32,36,31,25,43,36,20,66,5
TMEM183A,9425,12668,6748,7443,7316,7915,8134,8008,7793,9556,8429,8029
TMEM169,8,85,50,84,131,59,6,195,14,36,137,89
IGFBP7,2,2,1,1,4,9,6,7,0,7,0,0
TRIM46,9,27,17,12,11,13,18,39,26,34,5,35
KRTCAP2,2849,3153,2053,2169,2351,2302,2654,2785,2458,3151,3041,2060
CXCR1,0,0,0,0,0,0,0,2,0,3,0,0
ARPC2,5857,6831,4845,5178,4657,5391,5668,5322,5411,6672,5561,5023
TSACC,14,2,26,14,10,13,12,22,29,17,15,22
CCT3,40222,21277,25194,24104,21705,30260,37411,18581,29095,34732,24273,23606
TMEM79,421,264,504,565,607,549,534,286,505,696,610,481
SSR2,6752,15023,7725,10584,12295,7666,7088,13637,7189,9599,12806,10606
RNF25,820,602,515,485,495,613,548,596,881,616,606,550
STK36,542,290,396,352,647,447,506,459,511,707,265,524
ADORA1,0,1,0,0,1,0,0,0,0,0,0,0
NEK10,0,1,2,0,0,1,0,0,0,8,0,0
CCDC141,4,10,8,2,5,4,0,2,2,6,16,6
FEV,86,18,62,131,116,116,91,22,89,99,130,82
CRYBA2,8,2,7,10,10,19,19,3,4,23,35,9
IHH,0,0,2,0,0,0,0,1,0,0,0,0
CIP2A,3468,1346,2356,2148,2228,3064,2814,1421,3466,3737,2732,2562
EOMES,0,0,0,0,0,0,0,0,0,0,0,0
CWC22,4540,2977,3804,3384,3727,4887,3441,2798,4766,5833,4347,4234
AZI2,3030,4942,3971,4115,4530,4355,3778,3826,3900,5420,5208,4058
TGFBR2,102,92,171,235,241,190,112,165,262,348,408,261
RETNLB,0,0,0,0,0,2,0,0,0,0,0,0
ANKZF1,1981,4460,2256,1804,2706,2885,3296,3307,3062,4111,2744,2627
HDAC11,368,1693,572,546,732,441,345,1309,314,589,774,553
FCRL4,0,0,0,0,0,0,0,0,0,0,0,0
TRAT1,0,0,0,0,0,0,0,0,0,0,0,0
FBLN2,6,57,5,8,14,4,6,40,2,1,11,1
GLB1L,136,65,227,190,182,188,180,94,298,285,246,214
STT3B,14093,16214,14868,16219,17406,17535,15219,13919,16290,19621,20685,16718
CHCHD4,3908,1700,2129,2120,2342,3201,3521,1722,2785,3640,2425,1951
DPPA2,0,7,2,0,0,0,0,5,0,0,0,0
NFASC,8,90,31,44,31,9,7,53,13,10,13,34
FCRL1,0,0,0,0,0,0,0,0,0,0,0,3
SGO2,2469,1703,2359,2448,2578,3018,2117,1816,2846,3373,3164,2655
SERPINI1,422,265,272,403,347,375,433,269,420,551,404,560
CLASP2,6885,6411,7623,7076,7102,8923,8456,5771,8374,10436,9058,7805
SUCLG1,6348,6793,5216,5405,6325,6745,6261,5865,7237,7571,5879,5568
NUAK2,38,84,85,110,96,68,56,72,64,62,74,131
SPTA1,7227,2841,3290,3328,5710,8129,7472,2844,11745,11706,6511,2968
PRKCI,5084,5490,4091,4122,4268,5798,6055,4346,6037,6844,6242,3955
MNDA,7,2,3,8,1,4,1,2,0,0,35,5
PYHIN1,5,8,3,8,8,2,10,3,9,6,4,6
IFI16,119,1397,591,2034,1500,286,182,1878,448,938,2105,2546
AIM2,11,9,44,57,40,22,8,14,18,20,127,119
EFHB,97,83,143,126,141,200,174,85,116,140,108,129
EIF5A2,1270,2511,1503,1346,1505,1688,1691,2034,1411,1870,1670,1387
SLC2A2,0,0,1,0,0,0,0,0,0,0,0,0
RPL22L1,1554,2607,989,730,782,1066,1419,1750,974,1211,814,701
FABP1,0,0,0,0,0,0,0,0,0,0,0,0
PPM1L,32,31,54,53,38,7,27,36,42,42,57,75
ICA1L,153,254,337,350,473,332,182,262,270,417,420,261
SNHG16,6509,7632,6257,5945,5659,6902,7362,7508,5884,7245,6206,5969
CTLA4,0,12,18,8,28,11,9,67,11,26,13,4
ICOS,0,0,0,0,0,0,0,0,0,0,0,0
RYBP,90,110,111,170,120,118,100,19,59,110,104,136
PPP4R2,5265,3992,4070,4296,3392,5011,5089,2741,5609,5168,4305,4354
CD200R1,0,2,4,7,2,1,1,0,0,5,1,0
GTPBP8,732,876,917,893,775,946,937,620,889,1197,931,925
NEPRO,1704,2503,2160,2396,2513,2356,2661,1684,2496,3047,2450,2849
SPICE1,540,879,565,510,767,663,684,1117,699,1356,932,625
FAM86KP,0,0,1,0,0,1,0,0,0,0,0,1
CCDC191,25,84,85,147,142,169,84,108,88,125,94,103
CADPS,7,7,6,14,21,10,9,11,18,15,9,5
NKX6-1,0,0,0,0,0,0,0,0,0,0,0,0
CDS1,18,252,98,103,109,81,65,318,159,68,112,87
WDFY3,946,1846,1099,1519,1984,1274,751,1860,1203,1801,2100,1799
COX18,1399,996,1177,1169,1278,1717,1693,1124,1419,1945,1447,997
PTPN13,2,0,1,2,1,8,1,0,0,2,0,0
SYNPR,0,0,0,0,0,0,0,0,0,0,3,0
ALB,26,15,36,17,9,37,36,9,6,1,1,76
C3orf49,4,2,8,6,8,3,0,1,1,0,23,6
C4orf36,270,226,622,767,669,686,408,318,495,561,941,625
THOC7,2481,1928,2395,2496,2924,2894,2893,1770,2850,3446,3447,2726
ATXN7,974,1692,1324,1216,1339,1310,1215,1385,1751,1796,1785,1333
PSMD6,6559,3846,4457,4465,4396,5906,6740,3346,6025,6860,4520,4682
PRICKLE2,0,0,0,0,1,0,0,0,0,0,8,0
ADAMTS9,51,47,50,60,40,59,67,70,36,43,37,25
PPM1K,1824,1854,1074,1060,1105,1845,2022,1734,1766,1855,1128,954
ERICH6,0,0,0,0,0,2,0,0,0,0,0,0
CLRN1,0,0,0,0,0,0,0,0,0,0,0,0
GMPS,18128,18949,16219,15426,17386,19340,18892,16766,18100,21993,19023,16399
TIPARP,1943,6072,3082,3197,3044,2508,2205,2528,2132,3071,4089,3224
CCNL1,7585,16755,7424,7729,9093,6711,9142,10259,6962,9616,10046,9261
PTX3,4,11,5,4,8,4,7,9,10,8,21,9
HESX1,15,35,35,59,93,83,54,22,58,56,95,90
DCLK3,0,0,3,2,0,0,0,1,0,0,7,6
SLMAP,3469,2179,3340,3064,3333,4058,3875,2344,4117,4253,4098,3126
RPL9,42673,90260,45587,40533,48043,44842,49327,70660,41803,52192,50779,44403
SMIM14,239,2491,948,1439,1836,843,442,2165,516,1005,1993,1300
RPP14,2096,743,1195,1418,1350,1707,1729,945,1354,2021,1446,1332
ABHD6,398,384,361,415,546,375,313,524,175,339,381,340
DNASE1L3,2,1,0,5,1,0,9,0,0,0,12,0
CFAP20DC,265,252,275,407,440,505,366,249,380,402,433,234
RBM47,744,638,1255,1239,1257,1236,723,671,717,989,1172,839
APBB2,55,499,337,278,398,161,128,460,113,189,319,290
IL17RE,65,64,35,37,41,63,67,22,31,48,18,74
IL17RC,473,605,559,531,649,581,490,745,916,818,678,660
CRELD1,1068,5489,1013,1171,1236,1451,1302,3614,1732,1933,1581,969
PRRT3,137,33,84,52,62,126,113,51,144,198,59,81
FANCD2OS,1,2,3,2,1,3,0,3,0,0,1,0
PCOLCE2,80,54,27,11,25,69,83,33,37,59,40,83
U2SURP,22426,10636,13697,12115,15261,20646,22257,11546,24747,28687,20344,15393
MTMR14,2556,2737,3124,3984,3385,3420,3069,2889,2822,3609,3608,3061
TTC14,2708,5808,3240,3425,4231,4286,3484,3637,4509,5293,5065,3565
CXCL3,245,140,288,261,305,386,465,144,330,417,333,196
CXCL5,0,0,0,2,2,0,0,6,0,0,0,1
PPBP,1,17,9,8,6,1,7,5,2,3,3,0
PF4,0,0,2,0,0,4,0,0,0,0,0,0
MTHFD2L,1729,1069,2431,2151,2038,2478,1930,1102,2893,2856,2365,2341
CXCL1,6,8,8,35,16,9,14,9,6,13,3,4
RCHY1,3405,2448,2722,3212,2314,3521,3428,2118,2855,4020,3262,3271
PLSCR2,10,29,32,17,36,24,14,13,39,50,17,60
CCDC158,9,34,13,11,17,16,15,20,13,16,17,6
CPA3,0,0,0,1,0,0,0,0,0,0,0,0
GYG1,2220,2646,1934,1991,2466,2410,2618,2247,2200,2703,2619,2049
HPS3,1147,1330,1360,1783,1779,1507,1206,1826,1054,1845,1956,1819
TM4SF18,0,0,0,0,0,0,0,0,0,0,0,0
TOPBP1,6557,4731,6165,5614,7052,7778,7240,4551,8236,9591,7955,6651
RYK,1067,1271,1374,1331,1381,1419,1384,1191,1153,1759,1470,1176
SNRK,1272,760,1240,1333,1435,1428,1383,913,1273,1610,1375,1312
TCF23,33,81,48,44,66,66,49,52,67,68,80,69
DNAJC5G,6,4,0,19,6,3,4,5,3,0,7,2
UCN,56,157,56,99,177,59,41,172,41,55,80,78
ZNF513,388,440,537,562,483,518,422,472,500,545,501,642
SLC4A1AP,3651,3188,2956,2915,2967,3521,3987,3539,3713,4386,3947,2984
PLB1,6,34,20,38,28,11,5,26,17,19,28,72
SPDYA,6,36,11,24,22,8,11,21,18,29,26,17
WDR43,8693,3152,5398,4258,4998,6891,7128,3273,7260,8447,6504,4688
CDCP1,1930,2370,1827,2251,2070,1833,1533,1311,1663,2226,2126,2137
CLEC3B,0,3,0,3,8,2,0,1,10,2,15,13
SLC6A20,13,46,16,26,31,18,14,30,11,15,28,32
LZTFL1,1037,1488,1757,2189,2708,1895,1215,1352,1158,1874,2337,1953
FYCO1,1836,1940,2108,1880,2001,2376,2365,2033,2152,2610,1958,1841
CCR1,0,0,0,3,1,0,0,0,0,0,4,0
RTP3,1,0,3,0,1,1,2,0,0,2,0,5
LRRC2,9,24,26,22,30,8,22,36,18,24,32,13
ELP6,3522,1480,2582,2769,2577,3792,3815,1231,3347,4317,2992,2374
FBXO40,4,0,0,1,4,2,5,0,0,3,0,1
DTX3L,519,851,1040,1178,1341,961,679,1123,886,1352,1484,1252
ZNF148,1900,1658,1255,1202,1333,1336,1012,1403,1371,1826,1546,1487
NMNAT3,191,185,261,209,251,264,162,134,151,283,226,221
SMIM12,3333,1142,1667,1686,1425,1942,2186,1067,1716,2035,1511,1409
ZMYM6,1744,2649,2191,2233,2605,2877,2434,2483,2464,3488,2884,2460
TPRA1,810,1071,750,803,632,782,687,697,708,768,818,647
YEATS2,2903,3023,3138,2475,2957,3833,3620,2958,4158,4629,3515,2877
GRIK3,0,4,1,0,0,0,0,0,0,0,0,7
ZC3H12A,427,904,348,452,314,307,278,265,265,601,379,182
MEAF6,4659,4834,4650,4711,5122,5468,5234,3470,4881,5653,5798,4691
SNIP1,1484,1634,1220,1347,1266,1390,1484,1586,1612,1491,1415,1305
DNALI1,54,20,96,38,71,132,66,67,87,127,84,28
POLR2H,4035,3935,2876,2673,2423,3374,3892,2590,3321,3871,2708,2478
KLF15,227,59,53,35,78,149,249,100,181,187,62,27
CFAP100,0,0,0,0,0,0,0,0,0,0,0,0
CAMK2N2,4,1,2,5,4,9,5,0,3,6,2,6
LIPH,300,571,478,593,384,421,476,629,461,708,590,335
TMEM41A,3138,2553,2849,2790,3001,3094,3301,2527,2940,3828,3472,2896
RPN1,11790,18144,9459,10240,10970,10441,11858,15821,9516,12725,11972,10222
SENP2,4663,3977,4421,4434,5541,4485,5943,4546,6162,5726,6217,4320
HEYL,25,112,50,61,93,36,50,120,27,59,30,58
IFT122,824,1712,1089,1353,1138,1184,936,1338,1328,1417,1490,1105
RHO,0,0,0,0,0,0,0,1,0,0,0,0
IGF2BP2-AS1,3,0,0,0,0,0,0,0,0,0,0,0
RFC4,6392,6160,5956,5282,6537,7048,7039,5797,6346,7793,6317,5798
RPL39L,1015,1889,1188,1365,1547,1146,1161,1539,1019,1433,1599,1169
BAP1,4605,2523,3611,4284,3181,3614,4353,3006,3441,3894,2881,3358
TKT,18752,23755,14523,14728,13272,16529,16831,15693,15784,18908,14086,13218
PRKCD,1217,682,913,1056,931,944,928,705,950,1040,937,945
RFT1,1262,1041,1400,1312,1399,1520,1434,1108,1459,1691,1568,1393
SFMBT1,527,382,793,877,742,663,486,495,531,659,1132,735
GNL3,11098,7898,5159,4028,4957,6605,7591,5865,6922,7612,5299,4742
PBRM1,3287,2846,3990,4216,4455,3922,4244,3499,3444,4762,5375,4050
UVSSA,457,873,671,603,684,818,585,697,785,1014,1091,588
TASOR,3914,1036,4580,4286,4982,4954,4545,2630,5224,6209,5865,4519
ARHGEF3,261,372,256,176,234,264,241,291,234,253,331,277
SLBP,8318,6980,5807,5417,5587,6289,7539,4961,5602,6836,5899,5269
LRPAP1,3184,5709,2603,2921,3367,2726,2579,4825,2789,3307,3658,2885
ZDHHC19,104,228,108,45,61,70,61,169,75,84,35,58
SLC51A,4,2,0,3,0,2,1,2,0,2,0,0
UBXN7,3962,9546,6158,5999,7054,5898,6707,9945,6362,8890,7841,7023
RNF168,3732,10337,4780,4321,4417,4233,4072,6235,4057,5202,5026,4706
PIGX,2020,1829,2621,2833,3007,2706,2424,1762,2889,3098,3264,2660
MELTF,399,842,724,782,588,356,322,1213,222,662,518,510
OTOP1,0,5,0,1,2,0,0,0,0,0,0,0
S100P,47,2136,907,576,1510,316,480,2570,243,566,1003,1064
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0
EXO5,129,35,205,207,269,240,164,137,205,221,270,169
CLDN19,4,3,0,4,5,0,1,5,7,4,0,0
C1orf50,419,526,516,470,513,531,465,417,546,556,573,519
ERMAP,1881,522,2316,2920,2725,2337,1841,1051,2160,2798,2927,2171
ZNF691,849,371,1003,960,1116,1230,1047,625,1207,1473,1156,1089
AIMP1,5135,5153,4821,4268,5298,5058,5066,4700,5185,6725,5848,4609
SGMS2,2,2,3,45,38,43,21,14,2,6,0,20
METAP1,4912,4510,4832,4663,4822,5748,6270,4119,6380,7014,6101,5143
DNAJB14,3259,2668,4458,2599,3296,4417,2771,2092,4195,6065,3728,3380
H2AZ1,31135,25926,29398,29666,27924,31318,32640,25258,31630,35656,32367,29173
EMCN,0,1,0,3,2,3,0,0,0,4,22,0
SLC9B1,16,52,63,36,103,25,58,75,65,42,77,50
SLC9B2,1172,471,995,1050,921,1090,1436,458,1094,1425,1254,1039
BDH2,439,572,537,518,487,587,488,581,546,651,495,491
PGRMC2,4497,2691,3352,3181,3324,4327,4407,2912,4575,4753,3835,3493
CDC25A,5636,3860,3432,3178,3584,4133,4687,3126,3182,3476,3057,2995
CAMP,2,0,1,16,2,0,0,1,0,0,6,17
ZNF589,2061,2399,2267,1986,2588,2648,2549,2179,2361,3045,2616,2193
FBXW12,0,3,0,0,1,4,1,4,0,0,0,0
PLXNB1,657,1044,516,477,646,503,631,1167,504,778,916,979
CCDC51,976,512,668,609,749,806,886,674,798,986,585,608
ATRIP,1008,136,556,487,543,679,742,332,460,655,650,651
SHISA5,3685,5204,3434,3766,3976,4124,3902,4347,3474,4417,4277,3425
SPRY1,74,135,61,54,48,58,95,72,99,53,92,39
BSN,157,10,151,171,80,160,136,17,183,147,72,257
APEH,9749,6882,7284,7401,6681,8735,8813,5078,7324,8914,6504,6982
INTU,809,1203,951,1055,918,1404,955,1090,1260,1345,1839,718
RNF123,2239,1806,2887,2270,2539,2891,2398,2032,2369,2743,2216,1845
HSPA4L,5188,5872,3329,2340,2863,4816,4326,4607,5308,6356,4645,3059
MFSD8,1155,1038,900,998,1078,1100,1205,1092,1365,1190,1053,1118
ABHD18,1779,1782,1682,1657,1792,2275,2477,1974,2164,2380,2186,2075
CAMKV,127,19,15,7,4,36,54,24,48,38,2,16
MON1A,571,477,474,509,534,494,553,438,571,607,404,559
MST1R,299,88,276,181,222,335,235,118,182,342,332,354
RAD54L2,1971,3352,2142,1841,2163,1857,2362,2210,1910,2204,2785,2038
TEX264,1087,431,870,893,887,1044,1173,541,794,1151,958,775
GRM2,1,0,0,0,1,0,0,0,0,0,0,0
DUSP7,892,657,594,688,723,678,605,710,527,744,724,603
POC1A,945,834,1099,1326,1223,1166,1092,867,964,1190,1176,1079
