gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
RPL17P16,1,0,1,2,0,0,0,0,0,0,0,0
LINC02659,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419806,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P23,0,0,0,0,0,0,0,0,0,0,0,0
INTS6-AS1,44,53,164,177,222,170,116,114,95,187,396,156
LINC01829,0,0,0,0,1,0,0,0,0,0,1,1
RPS15AP27,0,0,0,0,0,0,0,0,0,0,0,0
SDR42E1P5,0,0,1,0,0,0,0,0,0,0,0,0
LINC00299,0,0,3,1,0,1,1,1,2,1,1,0
OR2AI1P,0,0,0,0,0,0,0,0,0,0,0,0
BCRP8,7,11,6,3,7,7,4,28,10,6,6,1
CNTNAP2-AS1,0,2,0,1,0,1,0,1,0,0,0,3
LINC02626,0,0,0,0,0,0,0,0,0,0,0,0
RPL24P8,0,3,2,3,1,1,1,3,1,2,0,1
B3GALT4,19,61,49,70,49,22,29,81,17,36,74,65
